table_name,column_name,exact_data_type,is_nullable,is_primary_key,is_foreign_key,references_table,references_column
sighting_habitat,growth_substrate,character varying(100),YES,false,false,null,null
sighting_habitat,host_tree_species,character varying(255),YES,false,false,null,null
sighting_habitat,host_tree_dbh_cm,"numeric(8,2)",YES,false,false,null,null
sighting_habitat,canopy_cover_percent,"numeric(5,2)",YES,false,false,null,null
sighting_habitat,light_exposure,character varying(50),YES,false,false,null,null
sighting_habitat,soil_type,character varying(100),YES,false,false,null,null
sighting_habitat,nearby_water_source,character varying(100),YES,false,false,null,null
sighting_media,sighting_media_id,integer,NO,true,false,null,null
sighting_media,sighting_id,integer,NO,false,true,species_sightings,sighting_id
sighting_media,picture_id,integer,NO,false,true,picture,picture_id
sighting_media,media_category,character varying(50),NO,false,false,null,null
sighting_media,photographer_name,character varying(255),YES,false,false,null,null
sighting_media,sort_order,smallint,NO,false,false,null,null
sighting_morphology,sighting_morphology_id,integer,NO,true,false,null,null
sighting_morphology,plant_height_cm,"numeric(8,2)",YES,false,false,null,null
sighting_morphology,pseudobulb_present,boolean,YES,false,false,null,null
sighting_morphology,stem_length_cm,"numeric(8,2)",YES,false,false,null,null
sighting_morphology,root_length_cm,"numeric(8,2)",YES,false,false,null,null
sighting_morphology,leaf_count,integer,YES,false,false,null,null
sighting_morphology,leaf_shape,character varying(120),YES,false,false,null,null
sighting_morphology,leaf_shape_other,character varying(255),YES,false,false,null,null
sighting_morphology,leaf_length_cm,"numeric(8,2)",YES,false,false,null,null
sighting_morphology,leaf_width_cm,"numeric(8,2)",YES,false,false,null,null
sighting_morphology,leaf_textures,jsonb,NO,false,false,null,null
sighting_morphology,leaf_arrangement,character varying(50),YES,false,false,null,null
sighting_morphology,flower_color,character varying(120),YES,false,false,null,null
sighting_morphology,flower_count,integer,YES,false,false,null,null
sighting_morphology,flower_diameter_cm,"numeric(8,2)",YES,false,false,null,null
sighting_morphology,inflorescence_type,character varying(50),YES,false,false,null,null
sighting_morphology,petal_characteristics,character varying(50),YES,false,false,null,null
sighting_morphology,sepal_characteristics,character varying(255),YES,false,false,null,null
sighting_morphology,labellum_lip_description,character varying(80),YES,false,false,null,null
sighting_morphology,fragrance,character varying(50),YES,false,false,null,null
sighting_morphology,blooming_stage,character varying(60),YES,false,false,null,null
sighting_morphology,flowering_season,character varying(60),YES,false,false,null,null
sighting_morphology,fruit_present,boolean,YES,false,false,null,null
sighting_morphology,fruit_type,character varying(50),YES,false,false,null,null
sighting_morphology,seed_capsule_condition,character varying(80),YES,false,false,null,null
sighting_morphology,life_stage,character varying(50),YES,false,false,null,null
sighting_morphology,phenology,character varying(50),YES,false,false,null,null
sighting_morphology,population_count,integer,YES,false,false,null,null
sighting_team_member,team_member_id,integer,NO,true,false,null,null
sighting_team_member,sighting_id,integer,NO,false,true,species_sightings,sighting_id
sighting_team_member,member_name,character varying(255),NO,false,false,null,null
sighting_team_member,member_role,character varying(100),YES,false,false,null,null
sighting_team_member,user_id,integer,YES,false,true,user,user_id
specie_value,specie_val_id,integer,NO,true,false,null,null
specie_value,ethnobotanical,character varying(255),YES,false,false,null,null
specie_value,horticulture_value,character varying(255),YES,false,false,null,null
specie_value,cultural_imp,character varying(255),YES,false,false,null,null
species_sightings,sighting_id,integer,NO,true,false,null,null
species_sightings,entry_id,text,NO,false,false,null,null
species_sightings,user_id,integer,YES,false,true,user,user_id
species_sightings,researcher_email,text,YES,false,false,null,null
species_sightings,scientific_name,text,NO,false,false,null,null
species_sightings,common_names,jsonb,NO,false,false,null,null
species_sightings,identification_confidence,text,NO,false,false,null,null
species_sightings,observation_date,date,YES,false,false,null,null
species_sightings,observation_time,time without time zone,YES,false,false,null,null
species_sightings,collection_method,text,YES,false,false,null,null
species_sightings,observation_type,text,YES,false,false,null,null
species_sightings,voucher_collected,boolean,YES,false,false,null,null
species_sightings,specific_site_zone,text,YES,false,false,null,null
species_sightings,specific_site_other,text,YES,false,false,null,null
species_sightings,latitude,double precision,YES,false,false,null,null
species_sightings,longitude,double precision,YES,false,false,null,null
species_sightings,elevation_meters,"numeric(8,2)",YES,false,false,null,null
species_sightings,researcher_notes,text,YES,false,false,null,null
species_sightings,review_status,text,NO,false,false,null,null
species_sightings,created_at,timestamp with time zone,NO,false,false,null,null
species_sightings,updated_at,timestamp with time zone,NO,false,false,null,null
species_sightings,local_names,jsonb,NO,false,false,null,null
species_sightings,related_study,text,YES,false,false,null,null
species_sightings,catalog_published,boolean,YES,false,false,null,null
species_sightings,endemic_to_philippines,boolean,YES,false,false,null,null
species_sightings,province,text,YES,false,false,null,null
species_sightings,municipality,text,YES,false,false,null,null
species_sightings,specific_site,text,YES,false,false,null,null
species_sightings,host_tree_diameter,text,YES,false,false,null,null
species_sightings,canopy_cover,text,YES,false,false,null,null
species_sightings,plant_height,text,YES,false,false,null,null
species_sightings,stem_length,text,YES,false,false,null,null
species_sightings,root_length,text,YES,false,false,null,null
species_sightings,leaf_length,text,YES,false,false,null,null
species_sightings,leaf_width,text,YES,false,false,null,null
species_sightings,leaf_texture,text,YES,false,false,null,null
species_sightings,number_of_leaves,text,YES,false,false,null,null
species_sightings,number_of_flowers,text,YES,false,false,null,null
species_sightings,flower_diameter,text,YES,false,false,null,null
species_sightings,labellum_description,text,YES,false,false,null,null
species_sightings,ethnobotanical_importance,text,YES,false,false,null,null
species_sightings,aesthetic_appeal,text,YES,false,false,null,null
species_sightings,cultivation,text,YES,false,false,null,null
species_sightings,rarity,text,YES,false,false,null,null
species_sightings,cultural_importance,text,YES,false,false,null,null
species_sightings,unusual_observations,text,YES,false,false,null,null
species_sightings,study_title,text,YES,false,false,null,null
species_sightings,study_link,text,YES,false,false,null,null
species_sightings,review_notes,text,YES,false,false,null,null
species_sightings,reviewed_at,timestamp with time zone,YES,false,false,null,null
species_sightings,sighting_habitat_id,integer,YES,false,true,sighting_habitat,sighting_habitat_id
species_sightings,sighting_morphology_id,integer,YES,false,true,sighting_morphology,sighting_morphology_id
species_sightings,sighting_conservation_id,integer,YES,false,true,sighting_conservation,sighting_conservation_id
species_sightings,mountain_id,integer,YES,false,true,mountain,mountain_id
species_sightings,researcher_name,text,YES,false,false,null,null
species_sightings,growth_substrate,text,YES,false,false,null,null
species_sightings,host_tree_species,text,YES,false,false,null,null
species_sightings,light_exposure,text,YES,false,false,null,null
species_sightings,soil_type,text,YES,false,false,null,null
species_sightings,nearby_water_source,text,YES,false,false,null,null
species_sightings,pseudobulb_present,text,YES,false,false,null,null
species_sightings,leaf_arrangement,text,YES,false,false,null,null
species_sightings,flowering_season,text,YES,false,false,null,null
